"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3AhXZa8sUQht0UEdBJgpGc","Like a Rolling Stone","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","spotify:album:6YabPKtZAjxwyWbuO9p4ZD","Highway 61 Revisited","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","1965-08-30","https://i.scdn.co/image/ab67616d0000b27341720ef0ae31e10d39e43ca2","1","1","369600","https://p.scdn.co/mp3-preview/7490ab69015a96977edc4a65d5026f6654698f29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","","2021-06-19T13:10:26Z"
"spotify:track:3Z5AAfbKef7G8EQHlQKTax","Alone Again Or","spotify:artist:3Q6OOkfssqoMSTtl11J5Uk","Love","spotify:album:3VnAoQNhrOdrXXJvh9om9p","Radio Pop Hits 60s","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Разные исполнители","2017-10-31","https://i.scdn.co/image/ab67616d0000b27320af20b5e7d2741dd546c53f","1","23","193613","https://p.scdn.co/mp3-preview/f0fdfb1bfc7b6e30d27fb44cb18f2b36025b9920?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","","2021-06-17T06:40:35Z"
"spotify:track:3xjaiUvS1ilQFVR5WtzxX5","Pale Blue Eyes","spotify:artist:1nJvji2KIlWSseXRSlNYsC","The Velvet Underground","spotify:album:1aERiG8Qvs5LgxplWi3fkL","The Velvet Underground","spotify:artist:1nJvji2KIlWSseXRSlNYsC","The Velvet Underground","1969-03","https://i.scdn.co/image/ab67616d0000b273885e14a3120eac33c70f05ae","1","4","341466","","false","0","","2021-06-17T05:47:46Z"
"spotify:track:3MtP9T0WF4xbIo8vqHYeXM","Spooky","spotify:artist:5zaXYwewAXedKNCff45U5l","Dusty Springfield","spotify:album:08W4d8uMIQvJg0nlwR1rBN","Dusty... Definitely","spotify:artist:5zaXYwewAXedKNCff45U5l","Dusty Springfield","1968-11-22","https://i.scdn.co/image/ab67616d0000b2733e4dc299094d31ee68fdfe78","1","16","164173","","false","64","","2021-06-17T05:42:13Z"
"spotify:track:3e6v45P0lQab5yq4xVf2LU","Самый лучший день","spotify:artist:2eLrVxwm6t4QeaORq5w8VW","Григорий Лепс","spotify:album:7CH1sGziizM7otckLyblV9","Пенсне","spotify:artist:2eLrVxwm6t4QeaORq5w8VW","Григорий Лепс","2011-01-01","https://i.scdn.co/image/ab67616d0000b273306dc386658d39d4339599da","1","9","269919","https://p.scdn.co/mp3-preview/47174aacc29a7bb126a3751d308f898c70461eaf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","","2021-06-16T09:36:20Z"
"spotify:track:521WLOw2BiEbeEzJKnJ52D","Снег","spotify:artist:3ANNnVJ7NCdIZV6P2YzvlI","Филипп Киркоров","spotify:album:0wi26cYhE0nWFd4K9IaAZi","ДРУGOY","spotify:artist:3ANNnVJ7NCdIZV6P2YzvlI","Филипп Киркоров","2011-01-01","https://i.scdn.co/image/ab67616d0000b2734faccfd025cf45f5c4336f58","1","9","277000","","false","2","","2021-06-16T09:31:21Z"
"spotify:track:3IKyTBHZSgCx2v1ZX8v0TZ","Albatross - 2018 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:2vykpF7BFnflpzjTCG52FU","The Pious Bird of Good Omen","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1969-08-15","https://i.scdn.co/image/ab67616d0000b2735a2881a3433b2a72d2991974","1","5","191106","","false","0","","2021-06-16T09:27:13Z"
"spotify:track:3e07MgX9cpVNUvtuE09bLo","Лилия","spotify:artist:0Je0f0T401KkUahMucc7jW","Монти Механик","spotify:album:3tRVPjyCinDqbS5Xl7p5yJ","Святые моторы","spotify:artist:0Je0f0T401KkUahMucc7jW","Монти Механик","2021-06-11","https://i.scdn.co/image/ab67616d0000b273ca8ae5ada1ac298457608442","1","12","171998","https://p.scdn.co/mp3-preview/81336d4336b033b896f70009a3408dace6bbed2e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","","2021-06-15T08:53:35Z"
"spotify:track:0yTzrG1COzlz0jwBcUYcT9","Пересмешник","spotify:artist:0Je0f0T401KkUahMucc7jW","Монти Механик","spotify:album:3tRVPjyCinDqbS5Xl7p5yJ","Святые моторы","spotify:artist:0Je0f0T401KkUahMucc7jW","Монти Механик","2021-06-11","https://i.scdn.co/image/ab67616d0000b273ca8ae5ada1ac298457608442","1","10","180321","https://p.scdn.co/mp3-preview/727bf130a25db6805014903592ed524e49c337de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","","2021-06-15T08:38:05Z"
"spotify:track:3FcVD7u66EWW90Y5AyA0zG","Харикейн","spotify:artist:0Je0f0T401KkUahMucc7jW, spotify:artist:58aR7ByRs2KKHzSfhDSnbD","Монти Механик, Даша Дерюгина","spotify:album:3tRVPjyCinDqbS5Xl7p5yJ","Святые моторы","spotify:artist:0Je0f0T401KkUahMucc7jW","Монти Механик","2021-06-11","https://i.scdn.co/image/ab67616d0000b273ca8ae5ada1ac298457608442","1","9","148928","https://p.scdn.co/mp3-preview/8cf9da68fc8641c55f57d750188c7a77c1474692?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","","2021-06-15T08:34:56Z"
